Name,Console,Year_of_Release,ESRB_rating,Publisher,Global_players,Genre,Critic_Score,User_Score,NA_Sales,EU_Sales,JP_Sales,Other_Country_Sales,Sequel,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform,RealTime,TurnBased,VisualNovel,FirstPerson,SideScrolling,TopDown,ThirdPerson
OutRun 2006: Coast 2 Coast,PS2,2006,E,Sega,0.05,Racing,81.0,8.8,0.02,0.01,0.01,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
OutRun 2006: Coast 2 Coast,PSP,2006,E,Sega,0.04,Racing,82.0,8.1,0.03,0.01,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Outlaw Golf,GC,2002,T,TDK Mediactive,0.08,Sports,69.0,7.8,0.06,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outlaw Golf,XB,2002,T,TDK Mediactive,0.29,Sports,72.0,6.9,0.22,0.06,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outlaw Golf 2,PS2,2004,M,Global Star,0.35,Sports,63.0,6.2,0.17,0.14,0.0,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outlaw Golf 2,XB,2004,M,Global Star,0.21,Sports,74.0,6.5,0.15,0.04,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outlaw Tennis,XB,2005,M,Global Star,0.04,Sports,66.0,7.7,0.03,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outlaw Volleyball,XB,2003,M,TDK Mediactive,0.26,Sports,77.0,8.4,0.19,0.06,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outlaw Volleyball Remixed,PS2,2004,M,Global Star,0.04,Sports,57.0,3.1,0.02,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Over G Fighters,X360,2006,T,Ubisoft,0.21,Simulation,49.0,6.0,0.19,0.01,0.0,0.02,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Over the Hedge,DS,2006,E,Activision,0.27,Platform,71.0,6.4,0.24,0.01,0.0,0.02,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Over the Hedge,GBA,2006,E,Activision,0.27,Platform,49.0,5.4,0.19,0.07,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Over the Hedge,GC,2006,E10+,Activision,0.35,Platform,61.0,9.3,0.27,0.07,0.0,0.01,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
